Names,Status,Error,Publications,No of Faculty Members,Mean Cites,Median Cites,Citation 5year Mean,Citation 5year Median,H-index 5year Mean,H-index 5year Median,I10 5year Mean,I10 5year Median,Mediancites:MeanCites,Citation 5y Mean:MeanCites,Citation 5y Mean:MedianCites,Citation 5y Median:MeanCites,Citation 5y Median:MedianCites,Citation 5y Median:Citation 5y Mean,Mean 5y Hindex:MeanCites,Mean 5y Hindex:MedianCites,Mean 5y Hindex:Citation 5y Mean,Mean 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:MeanCites,Median 5y Hindex:MedianCites,Median 5y Hindex:Citation 5y Mean,Median 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:Citation 5y H-indexMeanCites,I10 5year Mean:MeanCites,I10 5year Mean:MedianCites,I10 5y Mean:Citation 5y Mean,I10 5y Mean:Citation 5y MedianCites,I10 5y Mean:Citation 5y H-index Mean,I10 5y Mean:Citation 5y H-index Median,
su.sheffield.ac.uk,No profiles found,,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
soas.ac.uk,Complete,,,465,870,132,398,91,7,5,7,2,,,,,,,,,,,,,,,,,,,,,,
solent.ac.uk,Complete,,,60,436,182,305,116,6,5,6,3,,,,,,,,,,,,,,,,,,,,,,
sgul.ac.uk,Complete,,,123,282,213,216,190,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,
stmarys.ac.uk,Complete,Difference in profiles (excel:88) (folder:85),,88,438,64,292,58,5,4,6,2,,,,,,,,,,,,,,,,,,,,,,
staffs.ac.uk,Complete,,,138,384,98,229,67,5,4,5,2,,,,,,,,,,,,,,,,,,,,,,
swansea.ac.uk,Complete,,,860,1864,381,1011,269,11,8,18,7,,,,,,,,,,,,,,,,,,,,,,
tees.ac.uk,Complete,,,237,1571,200,808,169,8,6,13,5,,,,,,,,,,,,,,,,,,,,,,
open.ac.uk,Complete,,,740,2374,368,1028,247,10,8,15,7,,,,,,,,,,,,,,,,,,,,,,
ulster.ac.uk,Complete,,,577,1564,65,792,52,8,3,15,1,,,,,,,,,,,,,,,,,,,,,,
ucl.ac.uk,6500+,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
abdn.ac.uk,Complete,Difference in profiles (excel:806) (folder:805),,806,3063,590,1462,381,13,10,24,10,,,,,,,,,,,,,,,,,,,,,,
bath.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bath.ac.uk,Complete,,,1158,1920,378,980,289,10,8,17,7,,,,,,,,,,,,,,,,,,,,,,
beds.ac.uk,Complete,,,143,789,147,406,86,7,5,8,3,,,,,,,,,,,,,,,,,,,,,,
birmingham.ac.uk,Complete,,,4,196,105,177,102,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,
bolton.ac.uk,Complete,,,69,752,53,358,38,6,3,8,1,,,,,,,,,,,,,,,,,,,,,,
bradford.ac.uk,Complete,,,334,2127,377,924,205,10,7,17,6,,,,,,,,,,,,,,,,,,,,,,
brighton.ac.uk,Complete,Difference in profiles (excel:370) (folder:369),,370,1149,319,589,216,9,7,12,6,,,,,,,,,,,,,,,,,,,,,,
bristol.ac.uk,Complete,,,2302,2473,261,1329,211,11,7,20,6,,,,,,,,,,,,,,,,,,,,,,
cam.ac.uk,LONG,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
uclan.ac.uk,Complete,Difference in profiles (excel:347) (folder:345),,347,1092,134,565,101,8,5,11,3,,,,,,,,,,,,,,,,,,,,,,
www1.chester.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
chi.ac.uk,Complete,,,60,692,153,426,130,7,5,8,4,,,,,,,,,,,,,,,,,,,,,,
cumbria.ac.uk,Complete,,,70,987,146,422,89,6,4,8,2,,,,,,,,,,,,,,,,,,,,,,
derby.ac.uk,Complete,,,256,1114,79,602,60,7,4,9,2,,,,,,,,,,,,,,,,,,,,,,
apply.dundee.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
uea.ac.uk,Complete,,,835,2941,454,1400,317,12,8,21,8,,,,,,,,,,,,,,,,,,,,,,
uel.ac.uk,Complete,,,196,991,233,534,172,8,6,9,4,,,,,,,,,,,,,,,,,,,,,,
essex.ac.uk,Complete,Difference in profiles (excel:941) (folder:938),,941,1486,287,728,206,9,7,13,6,,,,,,,,,,,,,,,,,,,,,,
exeter.ac.uk,NO,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
gla.ac.uk,Complete,Difference in profiles (excel:611) (folder:609),,611,941,38,474,35,5,3,7,1,,,,,,,,,,,,,,,,,,,,,,
glos.ac.uk,Complete,,,118,834,157,463,120,8,5,9,3,,,,,,,,,,,,,,,,,,,,,,
gre.ac.uk,Complete,,,315,1099,389,554,233,9,7,12,6,,,,,,,,,,,,,,,,,,,,,,
herts.ac.uk,Complete,,,327,1270,1678,646,209,9,7,13,5,,,,,,,,,,,,,,,,,,,,,,
hud.ac.uk,Complete,Difference in profiles (excel:911) (folder:908),,911,1159,136,564,103,7,5,11,3,,,,,,,,,,,,,,,,,,,,,,
hull.ac.uk,Complete,,,454,1692,401,804,236,10,7,16,6,,,,,,,,,,,,,,,,,,,,,,
kent.ac.uk,Complete,Difference in profiles (excel:749) (folder:856),,749,2005,470,979,322,11,9,18,8,,,,,,,,,,,,,,,,,,,,,,
leeds.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leeds.ac.uk,2500+NO,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
le.ac.uk,Complete,Difference in profiles (excel:568) (folder:616),,568,4339,948,2149,543,15,12,30,14,,,,,,,,,,,,,,,,,,,,,,
lincoln.ac.uk,Complete,,,488,1135,259,606,177,9,6,12,5,,,,,,,,,,,,,,,,,,,,,,
liverpool.ac.uk,Complete,,,1347,2084,280,1146,222,10,8,17,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manchester.ac.uk,3400+,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
northampton.ac.uk,Complete,,,122,635,94,318,63,6,4,6,2,,,,,,,,,,,,,,,,,,,,,,
nottingham.ac.uk,Complete,,,2463,627,53,351,46,5,3,6,1,,,,,,,,,,,,,,,,,,,,,,
ox.ac.uk,5k+,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
port.ac.uk,Complete,,,583,1283,285,695,198,9,7,13,5,,,,,,,,,,,,,,,,,,,,,,
reading.ac.uk,Complete,,,952,2363,303,1094,208,10,7,16,6,,,,,,,,,,,,,,,,,,,,,,
roehampton.ac.uk,complete,,,199,2482,399,935,257,10,7,16,6,,,,,,,,,,,,,,,,,,,,,,
salford.ac.uk,Complete,,,501,1195,191,643,145,8,6,13,4,,,,,,,,,,,,,,,,,,,,,,
sheffield.ac.uk,Complete,,,2399,2442,381,1217,293,11,8,20,8,,,,,,,,,,,,,,,,,,,,,,
southwales.ac.uk,complete,,,166,1035,192,485,115,8,6,10,4,,,,,,,,,,,,,,,,,,,,,,
southampton.ac.uk,complete,,,30,2332,896,1276,594,13,12,25,14,,,,,,,,,,,,,,,,,,,,,,
st-andrews.ac.uk,Complete,Difference in profiles (excel:732) (folder:857),*,732,2817,473,1310,329,12,9,21,8,,,,,,,,,,,,,,,,,,,,,,
stir.ac.uk,Complete,,,454,2217,302,1082,210,10,7,17,6,,,,,,,,,,,,,,,,,,,,,,
strath.ac.uk,Complete,,,1160,1737,320,875,252,10,8,17,7,,,,,,,,,,,,,,,,,,,,,,
